Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price,manufacture_year_copy,manufacture_date
VW,Passat,1.6,Diesel,2001,94439,7423,2001,2001-01-01 00:00:00
Toyota,Prius,1.8,Hybrid,2003,140820,7155,2003,2003-01-01 00:00:00
VW,Passat,1.4,Diesel,2002,183683,3642,2002,2002-01-01 00:00:00
Toyota,RAV4,2.4,Hybrid,1992,96238,6560,1992,1992-01-01 00:00:00
Toyota,RAV4,2.2,Hybrid,1996,276774,1753,1996,1996-01-01 00:00:00
VW,Passat,1.8,Diesel,2011,81558,16797,2011,2011-01-01 00:00:00
VW,Passat,1.6,Diesel,2010,36230,19824,2010,2010-01-01 00:00:00
Toyota,Prius,1.8,Hybrid,2007,88948,13844,2007,2007-01-01 00:00:00
Toyota,Yaris,1.0,Hybrid,1995,190960,1580,1995,1995-01-01 00:00:00
Toyota,Yaris,1.0,Petrol,2012,83482,9593,2012,2012-01-01 00:00:00
Toyota,Yaris,1.0,Hybrid,1997,268975,889,1997,1997-01-01 00:00:00
Ford,Fiesta,1.2,Petrol,2010,100622,7026,2010,2010-01-01 00:00:00
VW,Polo,1.4,Petrol,2018,26352,21549,2018,2018-01-01 00:00:00
BMW,M5,5.0,Petrol,1997,142640,12584,1997,1997-01-01 00:00:00
VW,Passat,1.4,Diesel,2007,131178,7849,2007,2007-01-01 00:00:00
BMW,X3,3.0,Diesel,1996,200012,3431,1996,1996-01-01 00:00:00
Toyota,RAV4,2.4,Hybrid,2020,31732,64671,2020,2020-01-01 00:00:00
Toyota,Yaris,1.2,Petrol,2004,71862,6675,2004,2004-01-01 00:00:00
VW,Polo,2.0,Petrol,2019,27222,27397,2019,2019-01-01 00:00:00
Toyota,RAV4,1.8,Hybrid,2004,128141,9941,2004,2004-01-01 00:00:00
VW,Golf,1.2,Diesel,2008,89612,8514,2008,2008-01-01 00:00:00
Toyota,Yaris,1.2,Petrol,2008,109528,6665,2008,2008-01-01 00:00:00
Ford,Focus,1.6,Diesel,2010,44308,18042,2010,2010-01-01 00:00:00
VW,Passat,2.0,Diesel,2018,26292,40013,2018,2018-01-01 00:00:00
Ford,Mondeo,1.8,Diesel,2011,78444,16244,2011,2011-01-01 00:00:00
Toyota,Prius,1.0,Hybrid,2002,166072,4053,2002,2002-01-01 00:00:00
Ford,Fiesta,1.2,Diesel,2004,108527,4664,2004,2004-01-01 00:00:00
BMW,X3,2.0,Petrol,2007,89373,13534,2007,2007-01-01 00:00:00
Toyota,Yaris,1.0,Hybrid,1991,101348,2498,1991,1991-01-01 00:00:00
BMW,Z4,2.0,Petrol,2014,52250,26355,2014,2014-01-01 00:00:00
BMW,M5,4.0,Petrol,1988,277296,1875,1988,1988-01-01 00:00:00
Toyota,RAV4,1.8,Hybrid,1993,187256,2927,1993,1993-01-01 00:00:00
Ford,Focus,1.6,Petrol,1989,156509,1873,1989,1989-01-01 00:00:00
BMW,M5,5.0,Petrol,1997,100215,17449,1997,1997-01-01 00:00:00
VW,Polo,2.0,Petrol,2018,33870,24667,2018,2018-01-01 00:00:00
BMW,M5,5.0,Petrol,1993,161948,8226,1993,1993-01-01 00:00:00
Toyota,Prius,1.4,Hybrid,1998,176103,3374,1998,1998-01-01 00:00:00
VW,Golf,1.2,Petrol,2017,21962,22701,2017,2017-01-01 00:00:00
Porsche,911,2.6,Petrol,2000,154101,11943,2000,2000-01-01 00:00:00
Toyota,RAV4,2.4,Petrol,2013,59095,28588,2013,2013-01-01 00:00:00
Toyota,Yaris,1.0,Hybrid,2017,35385,21896,2017,2017-01-01 00:00:00
Ford,Mondeo,2.0,Diesel,1988,253165,868,1988,1988-01-01 00:00:00
Ford,Fiesta,1.2,Petrol,2007,73777,6951,2007,2007-01-01 00:00:00
VW,Polo,1.0,Petrol,2017,36222,16094,2017,2017-01-01 00:00:00
BMW,X3,3.0,Diesel,2009,67404,23124,2009,2009-01-01 00:00:00
Toyota,Prius,1.8,Hybrid,2018,44805,38584,2018,2018-01-01 00:00:00
Toyota,Prius,1.4,Hybrid,2017,3000,40218,2017,2017-01-01 00:00:00
VW,Passat,2.0,Diesel,2005,92902,10956,2005,2005-01-01 00:00:00
Porsche,718 Cayman,4.0,Petrol,2019,23317,74682,2019,2019-01-01 00:00:00
BMW,Z4,2.0,Petrol,2013,84482,19903,2013,2013-01-01 00:00:00
Toyota,RAV4,2.2,Hybrid,1997,231856,2841,1997,1997-01-01 00:00:00
Toyota,Prius,1.0,Hybrid,2006,133176,6923,2006,2006-01-01 00:00:00
Ford,Fiesta,1.4,Petrol,2013,75815,11047,2013,2013-01-01 00:00:00
Toyota,RAV4,2.4,Hybrid,2022,7641,84344,2022,2022-01-01 00:00:00
BMW,Z4,2.4,Petrol,2008,118890,12136,2008,2008-01-01 00:00:00
Ford,Fiesta,1.0,Petrol,2013,53369,10817,2013,2013-01-01 00:00:00
Ford,Focus,1.0,Diesel,2006,124336,6254,2006,2006-01-01 00:00:00
VW,Polo,2.0,Petrol,2014,34108,18867,2014,2014-01-01 00:00:00
Ford,Mondeo,1.6,Petrol,2006,54175,12266,2006,2006-01-01 00:00:00
VW,Passat,1.6,Diesel,2009,94297,12666,2009,2009-01-01 00:00:00
BMW,Z4,2.2,Petrol,2009,81312,16345,2009,2009-01-01 00:00:00
Toyota,Yaris,1.0,Petrol,2005,73270,6452,2005,2005-01-01 00:00:00
VW,Passat,1.8,Petrol,2020,22900,42102,2020,2020-01-01 00:00:00
VW,Golf,1.4,Petrol,1988,110448,1982,1988,1988-01-01 00:00:00
BMW,Z4,2.2,Petrol,1987,97625,3358,1987,1987-01-01 00:00:00
Toyota,RAV4,2.0,Hybrid,2009,114001,16308,2009,2009-01-01 00:00:00
Toyota,Prius,1.0,Hybrid,2017,36797,28229,2017,2017-01-01 00:00:00
VW,Passat,2.0,Petrol,2007,110164,10503,2007,2007-01-01 00:00:00
BMW,X3,3.0,Diesel,2008,158493,10899,2008,2008-01-01 00:00:00
VW,Passat,1.8,Diesel,2009,76156,15256,2009,2009-01-01 00:00:00
VW,Polo,2.0,Petrol,1994,199874,1428,1994,1994-01-01 00:00:00
Ford,Mondeo,1.6,Diesel,2006,111426,8652,2006,2006-01-01 00:00:00
VW,Polo,2.0,Petrol,1995,217881,1300,1995,1995-01-01 00:00:00
Ford,Focus,1.0,Petrol,2008,31665,12815,2008,2008-01-01 00:00:00
Toyota,RAV4,2.2,Hybrid,1988,218946,1752,1988,1988-01-01 00:00:00
VW,Golf,1.4,Hybrid,2006,49627,12009,2006,2006-01-01 00:00:00
Ford,Fiesta,1.4,Petrol,2016,23524,18670,2016,2016-01-01 00:00:00
Toyota,RAV4,2.4,Hybrid,1992,218483,2400,1992,1992-01-01 00:00:00
Toyota,Yaris,1.0,Petrol,2018,8192,22677,2018,2018-01-01 00:00:00
Ford,Fiesta,1.0,Petrol,1988,332898,191,1988,1988-01-01 00:00:00
Porsche,718 Cayman,4.0,Petrol,2019,38805,68298,2019,2019-01-01 00:00:00
Porsche,911,2.2,Petrol,2007,81323,30512,2007,2007-01-01 00:00:00
Toyota,Prius,1.0,Hybrid,2018,33140,30830,2018,2018-01-01 00:00:00
Toyota,Prius,1.4,Hybrid,2013,68493,20963,2013,2013-01-01 00:00:00
VW,Golf,1.8,Petrol,2012,42638,17670,2012,2012-01-01 00:00:00
VW,Passat,1.6,Diesel,2004,126392,7133,2004,2004-01-01 00:00:00
Toyota,Prius,1.4,Hybrid,2006,78185,12312,2006,2006-01-01 00:00:00
VW,Golf,1.8,Diesel,1996,53072,5987,1996,1996-01-01 00:00:00
VW,Polo,1.4,Petrol,2006,137494,4497,2006,2006-01-01 00:00:00
Toyota,RAV4,2.0,Petrol,1994,107802,5238,1994,1994-01-01 00:00:00
VW,Golf,2.0,Hybrid,2016,45215,28728,2016,2016-01-01 00:00:00
Ford,Mondeo,2.0,Diesel,1992,209131,1692,1992,1992-01-01 00:00:00
Toyota,Prius,1.8,Hybrid,2017,50015,34955,2017,2017-01-01 00:00:00
VW,Passat,1.8,Diesel,2002,177487,4356,2002,2002-01-01 00:00:00
VW,Polo,1.6,Petrol,2007,76014,8114,2007,2007-01-01 00:00:00
Porsche,Cayenne,3.0,Petrol,2019,14541,80346,2019,2019-01-01 00:00:00
Ford,Mondeo,2.0,Diesel,1993,136760,3341,1993,1993-01-01 00:00:00
VW,Passat,1.4,Petrol,1995,126842,3475,1995,1995-01-01 00:00:00
VW,Polo,1.2,Petrol,1990,210724,769,1990,1990-01-01 00:00:00
Toyota,RAV4,1.8,Hybrid,2004,44730,17841,2004,2004-01-01 00:00:00
VW,Polo,1.4,Petrol,2014,62616,13234,2014,2014-01-01 00:00:00
Ford,Mondeo,1.4,Diesel,2015,53387,22061,2015,2015-01-01 00:00:00
Ford,Mondeo,1.4,Diesel,2005,62036,10716,2005,2005-01-01 00:00:00
VW,Polo,1.6,Petrol,2021,7419,31179,2021,2021-01-01 00:00:00
Toyota,RAV4,2.4,Hybrid,1998,122777,8022,1998,1998-01-01 00:00:00
Ford,Fiesta,1.0,Petrol,1995,179926,1251,1995,1995-01-01 00:00:00
Toyota,Yaris,1.0,Hybrid,1988,192663,976,1988,1988-01-01 00:00:00
VW,Golf,1.8,Petrol,1995,182909,1992,1995,1995-01-01 00:00:00
Ford,Fiesta,1.2,Petrol,1991,277445,434,1991,1991-01-01 00:00:00
Ford,Fiesta,1.4,Petrol,2002,59358,5917,2002,2002-01-01 00:00:00
Ford,Focus,1.8,Petrol,2004,109499,7832,2004,2004-01-01 00:00:00
Ford,Fiesta,1.2,Petrol,1991,31321,3123,1991,1991-01-01 00:00:00
Toyota,Yaris,1.2,Petrol,1997,152106,2290,1997,1997-01-01 00:00:00
Ford,Fiesta,1.2,Petrol,1998,221072,1165,1998,1998-01-01 00:00:00
VW,Polo,1.2,Petrol,2009,108762,6352,2009,2009-01-01 00:00:00
VW,Golf,1.6,Diesel,2009,93917,10191,2009,2009-01-01 00:00:00
Ford,Focus,1.8,Petrol,2012,78808,16647,2012,2012-01-01 00:00:00
Toyota,Yaris,1.0,Hybrid,2020,18591,29416,2020,2020-01-01 00:00:00
VW,Golf,2.0,Petrol,2015,20336,25880,2015,2015-01-01 00:00:00
Ford,Fiesta,1.4,Petrol,2005,99433,5485,2005,2005-01-01 00:00:00
Toyota,Yaris,1.4,Hybrid,1999,108055,4794,1999,1999-01-01 00:00:00
Toyota,RAV4,2.2,Hybrid,1998,113469,8248,1998,1998-01-01 00:00:00
Toyota,Yaris,1.4,Hybrid,2009,17746,16794,2009,2009-01-01 00:00:00
VW,Passat,1.6,Diesel,2018,37000,33639,2018,2018-01-01 00:00:00
Toyota,Yaris,1.2,Petrol,2016,56697,16409,2016,2016-01-01 00:00:00
Ford,Fiesta,1.0,Hybrid,2005,90050,5952,2005,2005-01-01 00:00:00
Toyota,Yaris,1.2,Petrol,2005,10236,10331,2005,2005-01-01 00:00:00
Toyota,Prius,1.4,Hybrid,2011,73446,17747,2011,2011-01-01 00:00:00
VW,Passat,1.8,Diesel,2019,12089,43860,2019,2019-01-01 00:00:00
VW,Passat,1.6,Diesel,1997,246841,1585,1997,1997-01-01 00:00:00
Ford,Fiesta,1.0,Petrol,1989,228489,545,1989,1989-01-01 00:00:00
VW,Polo,1.0,Petrol,1987,74941,1703,1987,1987-01-01 00:00:00
Ford,Mondeo,1.8,Diesel,2013,78467,18558,2013,2013-01-01 00:00:00
BMW,X3,2.4,Diesel,1992,159582,3324,1992,1992-01-01 00:00:00
Ford,Fiesta,1.4,Diesel,2016,51956,16562,2016,2016-01-01 00:00:00
Ford,Focus,2.0,Petrol,1995,153651,3200,1995,1995-01-01 00:00:00
VW,Passat,1.6,Petrol,2016,51874,25609,2016,2016-01-01 00:00:00
Ford,Mondeo,2.0,Petrol,2018,17057,37963,2018,2018-01-01 00:00:00
VW,Golf,1.8,Diesel,2013,28330,21573,2013,2013-01-01 00:00:00
Ford,Mondeo,1.8,Diesel,1990,76501,4059,1990,1990-01-01 00:00:00
Toyota,Yaris,1.4,Petrol,1992,263439,662,1992,1992-01-01 00:00:00
Ford,Mondeo,2.0,Diesel,2017,32806,34132,2017,2017-01-01 00:00:00
Ford,Fiesta,1.0,Petrol,2017,40144,15320,2017,2017-01-01 00:00:00
Ford,Fiesta,1.0,Petrol,2004,65991,5472,2004,2004-01-01 00:00:00
Ford,Focus,1.4,Diesel,1988,304208,453,1988,1988-01-01 00:00:00
Ford,Fiesta,1.2,Petrol,2019,40099,19181,2019,2019-01-01 00:00:00
Toyota,Prius,1.0,Hybrid,2007,112118,8709,2007,2007-01-01 00:00:00
Toyota,Prius,1.0,Hybrid,1999,181082,2921,1999,1999-01-01 00:00:00
Ford,Mondeo,1.6,Diesel,2017,25780,31782,2017,2017-01-01 00:00:00
Ford,Mondeo,1.6,Diesel,2009,114927,10292,2009,2009-01-01 00:00:00
Ford,Fiesta,1.2,Diesel,2018,28705,20140,2018,2018-01-01 00:00:00
BMW,M5,5.0,Petrol,2016,33003,96456,2016,2016-01-01 00:00:00
Toyota,Yaris,1.0,Petrol,2014,20330,16276,2014,2014-01-01 00:00:00
Ford,Fiesta,1.2,Petrol,1991,200792,875,1991,1991-01-01 00:00:00
BMW,Z4,2.2,Petrol,2017,26097,39462,2017,2017-01-01 00:00:00
Toyota,Yaris,1.4,Hybrid,2008,96348,9521,2008,2008-01-01 00:00:00
Ford,Mondeo,1.6,Diesel,1999,231201,1979,1999,1999-01-01 00:00:00
Ford,Focus,1.8,Diesel,1996,194671,2404,1996,1996-01-01 00:00:00
Ford,Fiesta,1.0,Petrol,1986,186792,647,1986,1986-01-01 00:00:00
Ford,Fiesta,1.2,Petrol,2016,47023,15057,2016,2016-01-01 00:00:00
Ford,Focus,1.4,Petrol,1999,209016,2172,1999,1999-01-01 00:00:00
Toyota,RAV4,2.2,Hybrid,2015,49011,40000,2015,2015-01-01 00:00:00
Toyota,Prius,1.8,Hybrid,2014,74111,24468,2014,2014-01-01 00:00:00
VW,Polo,2.0,Petrol,1997,112610,3579,1997,1997-01-01 00:00:00
VW,Golf,1.4,Petrol,2005,139079,4930,2005,2005-01-01 00:00:00
Toyota,RAV4,2.0,Hybrid,2011,115436,18432,2011,2011-01-01 00:00:00
Ford,Fiesta,1.4,Hybrid,1998,203946,1759,1998,1998-01-01 00:00:00
Ford,Focus,1.0,Petrol,2015,64378,16698,2015,2015-01-01 00:00:00
Toyota,Prius,1.4,Hybrid,2014,51160,25059,2014,2014-01-01 00:00:00
VW,Passat,1.8,Diesel,2016,35032,31590,2016,2016-01-01 00:00:00
VW,Golf,1.4,Petrol,2009,36898,13204,2009,2009-01-01 00:00:00
Toyota,RAV4,2.2,Hybrid,2003,117577,11157,2003,2003-01-01 00:00:00
Porsche,718 Cayman,2.0,Petrol,2019,23179,52849,2019,2019-01-01 00:00:00
Ford,Focus,1.6,Petrol,1994,229874,1379,1994,1994-01-01 00:00:00
Toyota,Prius,1.4,Hybrid,1992,25657,6727,1992,1992-01-01 00:00:00
Toyota,Prius,1.8,Hybrid,2009,80004,16840,2009,2009-01-01 00:00:00
Ford,Focus,1.8,Petrol,2006,89118,10384,2006,2006-01-01 00:00:00
Ford,Mondeo,1.8,Diesel,2014,66411,21515,2014,2014-01-01 00:00:00
VW,Passat,1.4,Diesel,2018,45260,29941,2018,2018-01-01 00:00:00
Ford,Mondeo,1.6,Petrol,1998,45961,7573,1998,1998-01-01 00:00:00
VW,Passat,1.4,Diesel,2011,63944,16681,2011,2011-01-01 00:00:00
VW,Polo,1.0,Petrol,2006,108325,4763,2006,2006-01-01 00:00:00
BMW,Z4,2.2,Petrol,1996,55374,8162,1996,1996-01-01 00:00:00
Ford,Fiesta,1.4,Hybrid,2012,83697,11746,2012,2012-01-01 00:00:00
Toyota,Yaris,1.2,Petrol,1992,217077,937,1992,1992-01-01 00:00:00
Toyota,RAV4,2.4,Hybrid,1993,171497,3869,1993,1993-01-01 00:00:00
Ford,Fiesta,1.4,Petrol,2005,123221,4586,2005,2005-01-01 00:00:00
VW,Passat,1.4,Diesel,1994,131192,3299,1994,1994-01-01 00:00:00
VW,Polo,1.0,Petrol,2007,43873,7893,2007,2007-01-01 00:00:00
Toyota,RAV4,1.8,Hybrid,1991,146753,3602,1991,1991-01-01 00:00:00
VW,Polo,1.4,Petrol,2022,6573,31313,2022,2022-01-01 00:00:00
Toyota,Prius,1.8,Hybrid,2018,35046,40904,2018,2018-01-01 00:00:00
Ford,Mondeo,1.6,Diesel,2011,83905,14746,2011,2011-01-01 00:00:00
BMW,X3,2.0,Diesel,2004,66249,13632,2004,2004-01-01 00:00:00
BMW,M5,4.4,Petrol,1994,237802,4235,1994,1994-01-01 00:00:00
Toyota,Prius,1.0,Hybrid,1988,162581,1641,1988,1988-01-01 00:00:00
Toyota,Yaris,1.4,Petrol,2002,77494,6073,2002,2002-01-01 00:00:00
Ford,Focus,1.4,Diesel,2018,37174,30027,2018,2018-01-01 00:00:00
Ford,Mondeo,1.8,Diesel,1994,145664,3154,1994,1994-01-01 00:00:00
Porsche,Cayenne,2.6,Petrol,2003,117525,13096,2003,2003-01-01 00:00:00
Toyota,Prius,1.8,Hybrid,2014,79344,23609,2014,2014-01-01 00:00:00
Ford,Mondeo,1.6,Diesel,2011,54195,17972,2011,2011-01-01 00:00:00
BMW,X3,2.0,Diesel,2008,78524,16386,2008,2008-01-01 00:00:00
Toyota,Yaris,1.2,Petrol,2008,78845,8311,2008,2008-01-01 00:00:00
Porsche,Cayenne,2.6,Petrol,1991,82206,7616,1991,1991-01-01 00:00:00
VW,Golf,1.2,Diesel,1991,193622,1192,1991,1991-01-01 00:00:00
Ford,Fiesta,1.2,Diesel,1999,181317,1856,1999,1999-01-01 00:00:00
Toyota,RAV4,1.8,Hybrid,2003,123929,9610,2003,2003-01-01 00:00:00
Ford,Mondeo,1.8,Diesel,2002,138107,5713,2002,2002-01-01 00:00:00
Toyota,Yaris,1.2,Petrol,1997,128424,2769,1997,1997-01-01 00:00:00
Ford,Mondeo,2.0,Diesel,2001,113121,6843,2001,2001-01-01 00:00:00
VW,Passat,2.0,Diesel,1996,179523,3024,1996,1996-01-01 00:00:00
VW,Passat,1.6,Diesel,2002,153328,5030,2002,2002-01-01 00:00:00
Porsche,Cayenne,3.5,Diesel,2016,54760,58952,2016,2016-01-01 00:00:00
VW,Passat,2.0,Diesel,2008,129903,10130,2008,2008-01-01 00:00:00
Ford,Focus,1.0,Petrol,2006,61320,9348,2006,2006-01-01 00:00:00
VW,Polo,2.0,Petrol,2013,71145,13986,2013,2013-01-01 00:00:00
Porsche,Cayenne,2.6,Diesel,1999,166199,7120,1999,1999-01-01 00:00:00
VW,Golf,2.0,Hybrid,2000,112174,6247,2000,2000-01-01 00:00:00
Toyota,Yaris,1.4,Hybrid,1996,132581,3250,1996,1996-01-01 00:00:00
Toyota,RAV4,2.0,Hybrid,2015,38117,40746,2015,2015-01-01 00:00:00
Toyota,Yaris,1.0,Hybrid,2001,137043,3700,2001,2001-01-01 00:00:00
BMW,Z4,2.2,Petrol,1995,267466,1349,1995,1995-01-01 00:00:00
VW,Polo,1.2,Petrol,1998,213867,1275,1998,1998-01-01 00:00:00
Toyota,RAV4,2.0,Hybrid,2017,20451,51515,2017,2017-01-01 00:00:00
VW,Passat,1.4,Diesel,1990,229011,1095,1990,1990-01-01 00:00:00
Toyota,Yaris,1.0,Petrol,2007,34166,9435,2007,2007-01-01 00:00:00
Toyota,Prius,1.0,Hybrid,1991,193746,1535,1991,1991-01-01 00:00:00
Toyota,Yaris,1.4,Hybrid,1992,178944,1698,1992,1992-01-01 00:00:00
Toyota,Yaris,1.0,Hybrid,1991,192903,1190,1991,1991-01-01 00:00:00
Toyota,Yaris,1.0,Hybrid,2018,23960,24991,2018,2018-01-01 00:00:00
VW,Polo,1.0,Petrol,2019,19583,20216,2019,2019-01-01 00:00:00
Ford,Fiesta,1.0,Petrol,1991,160759,1126,1991,1991-01-01 00:00:00
Ford,Focus,1.4,Petrol,2009,124409,8603,2009,2009-01-01 00:00:00
Toyota,Prius,1.8,Hybrid,2013,79996,21987,2013,2013-01-01 00:00:00
Ford,Focus,1.0,Diesel,1993,168494,1837,1993,1993-01-01 00:00:00
BMW,X3,3.0,Diesel,1985,190509,1791,1985,1985-01-01 00:00:00
Toyota,Prius,1.0,Hybrid,1991,278999,705,1991,1991-01-01 00:00:00
Porsche,911,3.0,Petrol,1989,156105,6060,1989,1989-01-01 00:00:00
Ford,Fiesta,1.2,Petrol,1996,107680,2622,1996,1996-01-01 00:00:00
Ford,Focus,1.6,Hybrid,2017,40572,33632,2017,2017-01-01 00:00:00
Toyota,RAV4,2.0,Hybrid,2018,25387,53573,2018,2018-01-01 00:00:00
BMW,Z4,2.2,Petrol,1997,130914,5083,1997,1997-01-01 00:00:00
VW,Passat,1.4,Diesel,2018,42902,30374,2018,2018-01-01 00:00:00
Toyota,Prius,1.4,Hybrid,1995,65078,6458,1995,1995-01-01 00:00:00
BMW,Z4,2.4,Petrol,2000,126350,6720,2000,2000-01-01 00:00:00
Toyota,Prius,1.0,Hybrid,2017,33312,28812,2017,2017-01-01 00:00:00
Toyota,RAV4,2.4,Hybrid,2015,76336,34965,2015,2015-01-01 00:00:00
BMW,M5,4.4,Petrol,1995,141999,10385,1995,1995-01-01 00:00:00
BMW,X3,2.4,Petrol,1992,158526,3194,1992,1992-01-01 00:00:00
Ford,Focus,1.0,Petrol,1990,149519,1677,1990,1990-01-01 00:00:00
Toyota,RAV4,2.4,Hybrid,2002,158870,7839,2002,2002-01-01 00:00:00
VW,Passat,2.0,Diesel,1995,173730,2973,1995,1995-01-01 00:00:00
Ford,Fiesta,1.2,Petrol,2015,50519,13784,2015,2015-01-01 00:00:00
Ford,Mondeo,1.4,Diesel,2018,39028,29427,2018,2018-01-01 00:00:00
Ford,Mondeo,1.8,Diesel,2008,74100,13699,2008,2008-01-01 00:00:00
BMW,Z4,2.2,Petrol,1989,225545,1330,1989,1989-01-01 00:00:00
Porsche,911,3.5,Petrol,2014,63934,69001,2014,2014-01-01 00:00:00
Ford,Focus,2.0,Hybrid,2008,50791,19385,2008,2008-01-01 00:00:00
Ford,Mondeo,1.8,Diesel,1995,93647,5024,1995,1995-01-01 00:00:00
VW,Passat,2.0,Diesel,1992,224814,1553,1992,1992-01-01 00:00:00
Toyota,Prius,1.4,Hybrid,1988,18166,5371,1988,1988-01-01 00:00:00
VW,Polo,1.2,Petrol,2016,33500,16758,2016,2016-01-01 00:00:00
VW,Polo,1.2,Petrol,2014,64268,12120,2014,2014-01-01 00:00:00
Ford,Focus,1.8,Hybrid,2017,24130,39242,2017,2017-01-01 00:00:00
BMW,M5,4.4,Petrol,2018,34141,102706,2018,2018-01-01 00:00:00
BMW,M5,5.0,Petrol,2021,17436,146939,2021,2021-01-01 00:00:00
VW,Golf,1.6,Hybrid,2004,80057,9201,2004,2004-01-01 00:00:00
Ford,Mondeo,1.6,Diesel,2008,119676,9285,2008,2008-01-01 00:00:00
VW,Passat,1.8,Diesel,1998,182914,3184,1998,1998-01-01 00:00:00
Ford,Mondeo,1.8,Diesel,1987,293197,529,1987,1987-01-01 00:00:00
BMW,M5,5.0,Petrol,2014,85906,60054,2014,2014-01-01 00:00:00
Ford,Focus,1.6,Diesel,2019,16930,38488,2019,2019-01-01 00:00:00
Toyota,Yaris,1.4,Hybrid,1997,83524,5009,1997,1997-01-01 00:00:00
BMW,X3,2.4,Diesel,2019,35129,49291,2019,2019-01-01 00:00:00
Toyota,RAV4,1.8,Hybrid,1998,226710,2879,1998,1998-01-01 00:00:00
Ford,Focus,2.0,Diesel,2007,102513,11151,2007,2007-01-01 00:00:00
Toyota,Yaris,1.0,Hybrid,2019,13166,28336,2019,2019-01-01 00:00:00
VW,Passat,1.4,Diesel,2018,22975,34106,2018,2018-01-01 00:00:00
VW,Golf,1.8,Petrol,2019,25832,31088,2019,2019-01-01 00:00:00
VW,Golf,1.2,Petrol,2002,74438,6039,2002,2002-01-01 00:00:00
VW,Passat,1.8,Diesel,1999,68608,8241,1999,1999-01-01 00:00:00
Toyota,Prius,1.4,Hybrid,1986,318316,411,1986,1986-01-01 00:00:00
VW,Passat,1.4,Diesel,2007,109066,9303,2007,2007-01-01 00:00:00
VW,Polo,1.4,Petrol,2015,32893,16993,2015,2015-01-01 00:00:00
VW,Polo,1.0,Petrol,1994,183689,1162,1994,1994-01-01 00:00:00
Porsche,Cayenne,2.6,Diesel,1997,157741,6687,1997,1997-01-01 00:00:00
Ford,Focus,1.6,Diesel,1996,225947,1715,1996,1996-01-01 00:00:00
Ford,Focus,1.8,Diesel,2011,73323,16975,2011,2011-01-01 00:00:00
VW,Passat,1.6,Petrol,2015,45410,24936,2015,2015-01-01 00:00:00
VW,Golf,1.2,Petrol,2000,205943,1856,2000,2000-01-01 00:00:00
Ford,Mondeo,1.6,Diesel,2009,82166,13063,2009,2009-01-01 00:00:00
Ford,Focus,1.8,Diesel,1997,200883,2433,1997,1997-01-01 00:00:00
VW,Polo,1.4,Petrol,1989,168321,1124,1989,1989-01-01 00:00:00
VW,Golf,2.0,Petrol,1993,222454,1296,1993,1993-01-01 00:00:00
Porsche,Cayenne,3.5,Petrol,1998,156880,7955,1998,1998-01-01 00:00:00
Ford,Mondeo,1.4,Diesel,2003,68589,8983,2003,2003-01-01 00:00:00
VW,Polo,2.0,Petrol,2010,82624,10587,2010,2010-01-01 00:00:00
Ford,Focus,1.6,Petrol,2019,2000,39636,2019,2019-01-01 00:00:00
Toyota,Prius,1.0,Hybrid,1990,173898,1704,1990,1990-01-01 00:00:00
Ford,Mondeo,1.8,Diesel,2016,66823,24517,2016,2016-01-01 00:00:00
Toyota,Prius,1.0,Hybrid,2005,89823,8975,2005,2005-01-01 00:00:00
VW,Golf,2.0,Petrol,2005,156965,5094,2005,2005-01-01 00:00:00
Ford,Mondeo,1.4,Diesel,2007,130390,7476,2007,2007-01-01 00:00:00
Porsche,911,3.5,Petrol,2005,100456,29388,2005,2005-01-01 00:00:00
VW,Polo,1.6,Petrol,1986,193428,793,1986,1986-01-01 00:00:00
BMW,X3,3.0,Diesel,2017,33208,48774,2017,2017-01-01 00:00:00
VW,Golf,1.6,Petrol,2008,75120,10355,2008,2008-01-01 00:00:00
Toyota,Prius,1.4,Hybrid,1989,262773,850,1989,1989-01-01 00:00:00
VW,Polo,1.0,Diesel,2004,76273,5504,2004,2004-01-01 00:00:00
Toyota,Yaris,1.0,Hybrid,1986,294507,335,1986,1986-01-01 00:00:00
Ford,Focus,1.6,Petrol,2017,38099,28444,2017,2017-01-01 00:00:00
Toyota,RAV4,1.8,Hybrid,2013,61940,29168,2013,2013-01-01 00:00:00
Toyota,RAV4,2.2,Petrol,1985,68527,3979,1985,1985-01-01 00:00:00
VW,Passat,1.6,Diesel,2000,20688,11122,2000,2000-01-01 00:00:00
VW,Golf,1.4,Diesel,2022,5195,39296,2022,2022-01-01 00:00:00
BMW,M5,5.0,Petrol,1986,235244,2711,1986,1986-01-01 00:00:00
Ford,Mondeo,1.4,Diesel,2006,87176,9659,2006,2006-01-01 00:00:00
Ford,Fiesta,1.0,Petrol,1993,279584,443,1993,1993-01-01 00:00:00
BMW,Z4,2.2,Petrol,2017,31861,38182,2017,2017-01-01 00:00:00
Toyota,Yaris,1.4,Petrol,1994,46209,4366,1994,1994-01-01 00:00:00
VW,Polo,1.0,Petrol,2006,64702,6472,2006,2006-01-01 00:00:00
Ford,Fiesta,1.4,Hybrid,2016,51833,18942,2016,2016-01-01 00:00:00
Toyota,RAV4,2.4,Hybrid,2012,41701,35769,2012,2012-01-01 00:00:00
Toyota,RAV4,2.2,Hybrid,2003,156406,8188,2003,2003-01-01 00:00:00
